participant_id	species
sub-YutaMouse20	Mus musculus
sub-YutaMouse20	Mus musculus
sub-YutaMouse20	Mus musculus
sub-YutaMouse20	Mus musculus
sub-YutaMouse20	Mus musculus
sub-YutaMouse23	Mus musculus
sub-YutaMouse23	Mus musculus
sub-YutaMouse23	Mus musculus
sub-YutaMouse33	mouse
sub-YutaMouse33	Mus musculus
sub-YutaMouse33	Mus musculus
sub-YutaMouse33	Mus musculus
sub-YutaMouse33	Mus musculus
sub-YutaMouse33	Mus musculus
sub-YutaMouse33	Mus musculus
sub-YutaMouse33	Mus musculus
sub-YutaMouse33	Mus musculus
sub-YutaMouse37	Mus musculus
sub-YutaMouse37	Mus musculus
sub-YutaMouse37	Mus musculus
sub-YutaMouse37	Mus musculus
sub-YutaMouse37	Mus musculus
sub-YutaMouse38	Mus musculus
sub-YutaMouse39	Mus musculus
sub-YutaMouse39	Mus musculus
sub-YutaMouse39	Mus musculus
sub-YutaMouse39	Mus musculus
sub-YutaMouse39	Mus musculus
sub-YutaMouse39	Mus musculus
sub-YutaMouse39	Mus musculus
sub-YutaMouse40	Mus musculus
sub-YutaMouse40	Mus musculus
sub-YutaMouse40	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse41	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse42	Mus musculus
sub-YutaMouse44	Mus musculus
sub-YutaMouse44	Mus musculus
sub-YutaMouse44	Mus musculus
sub-YutaMouse45	Mus musculus
sub-YutaMouse45	Mus musculus
sub-YutaMouse45	Mus musculus
sub-YutaMouse45	Mus musculus
sub-YutaMouse45	Mus musculus
sub-YutaMouse51	Mus musculus
sub-YutaMouse51	Mus musculus
sub-YutaMouse51	Mus musculus
sub-YutaMouse51	Mus musculus
sub-YutaMouse54	Mus musculus
sub-YutaMouse54	Mus musculus
sub-YutaMouse54	Mus musculus
sub-YutaMouse54	Mus musculus
sub-YutaMouse54	Mus musculus
sub-YutaMouse55	Mus musculus
sub-YutaMouse55	Mus musculus
sub-YutaMouse55	Mus musculus
sub-YutaMouse55	Mus musculus
sub-YutaMouse55	Mus musculus
sub-YutaMouse55	Mus musculus
sub-YutaMouse55	Mus musculus
sub-YutaMouse55	Mus musculus
sub-YutaMouse55	Mus musculus
sub-YutaMouse56	Mus musculus
sub-YutaMouse56	Mus musculus
sub-YutaMouse56	Mus musculus
sub-YutaMouse56	Mus musculus
sub-YutaMouse56	Mus musculus
sub-YutaMouse56	Mus musculus
sub-YutaMouse56	Mus musculus
sub-YutaMouse56	Mus musculus
sub-YutaMouse56	Mus musculus
sub-YutaMouse57	Mus musculus
sub-YutaMouse57	Mus musculus
sub-YutaMouse57	Mus musculus
sub-YutaMouse57	Mus musculus
sub-YutaMouse57	Mus musculus
sub-YutaMouse57	Mus musculus
sub-YutaMouse57	Mus musculus
sub-YutaMouse57	Mus musculus
