electrode_id	probe_id	location
0	implant	unknown
1	implant	unknown
2	implant	unknown
3	implant	unknown
4	implant	unknown
5	implant	unknown
6	implant	unknown
7	implant	unknown
8	implant	unknown
9	implant	unknown
10	implant	unknown
11	implant	unknown
12	implant	unknown
13	implant	unknown
14	implant	unknown
15	implant	unknown
16	implant	unknown
17	implant	unknown
18	implant	unknown
19	implant	unknown
20	implant	unknown
21	implant	unknown
22	implant	unknown
23	implant	unknown
24	implant	unknown
25	implant	unknown
26	implant	unknown
27	implant	unknown
28	implant	unknown
29	implant	unknown
30	implant	unknown
31	implant	unknown
32	implant	unknown
33	implant	unknown
34	implant	unknown
35	implant	unknown
36	implant	unknown
37	implant	unknown
38	implant	unknown
39	implant	unknown
40	implant	unknown
41	implant	unknown
42	implant	unknown
43	implant	unknown
44	implant	unknown
45	implant	unknown
46	implant	unknown
47	implant	unknown
48	implant	unknown
49	implant	unknown
50	implant	unknown
51	implant	unknown
52	implant	unknown
53	implant	unknown
54	implant	unknown
55	implant	unknown
56	implant	unknown
57	implant	unknown
58	implant	unknown
59	implant	unknown
60	implant	unknown
61	implant	unknown
62	implant	unknown
63	implant	unknown
