channel_id	electrode_id	type	unit	sampling_frequency	gain
0	0	EXT	V		
1	1	EXT	V		
2	2	EXT	V		
3	3	EXT	V		
4	4	EXT	V		
5	5	EXT	V		
6	6	EXT	V		
7	7	EXT	V		
8	8	EXT	V		
9	9	EXT	V		
10	10	EXT	V		
11	11	EXT	V		
12	12	EXT	V		
13	13	EXT	V		
14	14	EXT	V		
15	15	EXT	V		
16	16	EXT	V		
17	17	EXT	V		
18	18	EXT	V		
19	19	EXT	V		
20	20	EXT	V		
21	21	EXT	V		
22	22	EXT	V		
23	23	EXT	V		
24	24	EXT	V		
25	25	EXT	V		
26	26	EXT	V		
27	27	EXT	V		
28	28	EXT	V		
29	29	EXT	V		
30	30	EXT	V		
31	31	EXT	V		
32	32	EXT	V		
33	33	EXT	V		
34	34	EXT	V		
35	35	EXT	V		
36	36	EXT	V		
37	37	EXT	V		
38	38	EXT	V		
39	39	EXT	V		
40	40	EXT	V		
41	41	EXT	V		
42	42	EXT	V		
43	43	EXT	V		
44	44	EXT	V		
45	45	EXT	V		
46	46	EXT	V		
47	47	EXT	V		
48	48	EXT	V		
49	49	EXT	V		
50	50	EXT	V		
51	51	EXT	V		
52	52	EXT	V		
53	53	EXT	V		
54	54	EXT	V		
55	55	EXT	V		
56	56	EXT	V		
57	57	EXT	V		
58	58	EXT	V		
59	59	EXT	V		
60	60	EXT	V		
61	61	EXT	V		
62	62	EXT	V		
63	63	EXT	V		
64	64	EXT	V		
65	65	EXT	V		
66	66	EXT	V		
67	67	EXT	V		
68	68	EXT	V		
69	69	EXT	V		
70	70	EXT	V		
71	71	EXT	V		
72	72	EXT	V		
73	73	EXT	V		
74	74	EXT	V		
75	75	EXT	V		
76	76	EXT	V		
77	77	EXT	V		
78	78	EXT	V		
79	79	EXT	V		
80	80	EXT	V		
81	81	EXT	V		
82	82	EXT	V		
83	83	EXT	V		
84	84	EXT	V		
85	85	EXT	V		
86	86	EXT	V		
87	87	EXT	V		
88	88	EXT	V		
89	89	EXT	V		
90	90	EXT	V		
91	91	EXT	V		
92	92	EXT	V		
93	93	EXT	V		
94	94	EXT	V		
95	95	EXT	V		
