onset	duration	nwb_table	error_run	stim_run	both_visit	condition	tags
9143.2192	4590.2592	epochs					['EightMazePosition_0']
9171.1448	179.76239999999962	trials	0.0	0.0	0.0	run_left	
9350.9072	65.65120000000024	trials	0.0	0.0	0.0	run_right	
9416.5584	79.52880000000005	trials	0.0	0.0	0.0	run_left	
9496.0872	61.10479999999916	trials	0.0	0.0	0.0	run_right	
9557.192	70.81840000000193	trials	0.0	0.0	0.0	run_left	
9628.010400000001	26.81840000000011	trials	1.0	0.0	0.0	run_left	
9654.828800000001	65.63999999999942	trials	0.0	0.0	0.0	run_right	
9720.4688	73.1927999999989	trials	0.0	0.0	0.0	run_left	
9793.6616	74.615200000002	trials	0.0	0.0	0.0	run_right	
9868.276800000001	72.06319999999869	trials	0.0	0.0	0.0	run_left	
9940.34	70.95119999999952	trials	0.0	0.0	0.0	run_right	
10011.2912	106.11679999999978	trials	0.0	0.0	0.0	run_left	
10117.408	77.94160000000011	trials	0.0	0.0	0.0	run_right	
10195.3496	54.728800000000774	trials	0.0	0.0	0.0	run_left	
10250.0784	71.23840000000018	trials	0.0	0.0	0.0	run_right	
10321.3168	54.70000000000073	trials	0.0	0.0	0.0	run_left	
10376.016800000001	81.0031999999992	trials	0.0	0.0	0.0	run_right	
10457.02	57.76800000000003	trials	0.0	0.0	0.0	run_left	
10514.788	69.41040000000066	trials	0.0	0.0	0.0	run_right	
10584.198400000001	54.3815999999988	trials	0.0	0.0	0.0	run_left	
10638.58	63.806400000001304	trials	0.0	0.0	0.0	run_right	
10702.386400000001	48.047199999999066	trials	0.0	0.0	0.0	run_left	
10750.4336	23.083200000000943	trials	1.0	0.0	0.0	run_left	
10773.516800000001	72.87519999999859	trials	0.0	0.0	0.0	run_right	
10846.392	47.012800000000425	trials	0.0	0.0	0.0	run_left	
10893.4048	68.27039999999943	trials	0.0	0.0	0.0	run_right	
10961.6752	81.07599999999911	trials	0.0	0.0	0.0	run_left	
11042.751199999999	62.87840000000142	trials	0.0	0.0	0.0	run_right	
11105.6296	64.43039999999928	trials	0.0	0.0	0.0	run_left	
11170.06	74.9336000000003	trials	0.0	0.0	0.0	run_right	
11244.9936	42.3768	trials	0.0	0.0	0.0	run_left	
11287.3704	64.75760000000082	trials	0.0	0.0	0.0	run_right	
11352.128	47.52800000000025	trials	0.0	0.0	0.0	run_left	
11399.656	23.270399999999427	trials	1.0	0.0	0.0	run_left	
11422.9264	67.76800000000003	trials	0.0	0.0	0.0	run_right	
11490.6944	48.927200000000084	trials	0.0	0.0	0.0	run_left	
11539.6216	66.68319999999949	trials	0.0	0.0	0.0	run_right	
11606.3048	49.79279999999926	trials	0.0	0.0	0.0	run_left	
11656.0976	57.22240000000056	trials	0.0	0.0	0.0	run_right	
11713.32	45.14400000000023	trials	0.0	0.0	0.0	run_left	
11758.464	58.961600000000544	trials	0.0	0.0	0.0	run_right	
11817.4256	46.005599999998594	trials	0.0	0.0	0.0	run_left	
11863.431199999999	21.798399999999674	trials	1.0	0.0	0.0	run_left	
11885.229599999999	57.26640000000043	trials	0.0	0.0	0.0	run_right	
11942.496	48.60480000000098	trials	0.0	0.0	0.0	run_left	
11991.1008	61.115200000000186	trials	0.0	0.0	0.0	run_right	
12052.216	51.123999999999796	trials	0.0	0.0	0.0	run_left	
12103.34	50.45119999999952	trials	1.0	0.0	0.0	run_left	
12153.7912	51.45039999999972	trials	0.0	0.0	0.0	run_right	
12205.2416	53.84320000000116	trials	0.0	0.0	0.0	run_left	
12259.0848	102.46479999999974	trials	1.0	0.0	0.0	run_left	
12361.5496	397.16399999999885	trials	0.0	0.0	0.0	run_right	
12758.7136	542.0944000000018	trials	1.0	0.0	0.0	run_right	
13300.808	432.6919999999991	trials	0.0	0.0	0.0	run_left	
13734.6048	1302.988800000001	epochs					['OpenFieldPosition_Old_0']
15038.6176	1270.7584000000006	epochs					['OpenFieldPosition_Old_Curtain_0']
16310.4	1163.4944000000014	epochs					['OpenFieldPosition_New_Curtain_0']
17474.9184	1161.4720000000016	epochs					['OpenFieldPosition_New_0']
18637.4144	1239.8847999999998	epochs					['OpenFieldPosition_Oldlast_0']
31632.512	3347.0720000000038	epochs					['EightMazePosition_1']
31641.4904	108.35440000000017	trials	0.0	0.0	0.0	run_right	
31749.8448	95.56400000000212	trials	0.0	0.0	0.0	run_left	
31845.4088	70.24880000000121	trials	0.0	0.0	0.0	run_right	
31915.657600000002	101.87759999999616	trials	0.0	1.0	0.0	run_left	
32017.5352	78.75280000000203	trials	0.0	1.0	0.0	run_right	
32096.288	109.50799999999799	trials	0.0	1.0	0.0	run_left	
32205.796	65.34240000000136	trials	0.0	0.0	0.0	run_right	
32271.1384	121.6768000000011	trials	0.0	0.0	0.0	run_left	
32392.8152	28.596799999999348	trials	1.0	1.0	0.0	run_left	
32421.412	46.695199999998295	trials	0.0	1.0	0.0	run_right	
32468.1072	53.27600000000166	trials	0.0	0.0	0.0	run_left	
32521.3832	59.39840000000186	trials	0.0	0.0	0.0	run_right	
32580.781600000002	89.04239999999845	trials	0.0	0.0	0.0	run_left	
32669.824	44.487199999999575	trials	0.0	1.0	0.0	run_right	
32714.3112	104.41920000000027	trials	0.0	1.0	0.0	run_left	
32818.7304	46.743200000004435	trials	0.0	1.0	0.0	run_right	
32865.473600000005	65.04239999999845	trials	0.0	0.0	0.0	run_left	
32930.516	34.96399999999994	trials	1.0	0.0	0.0	run_left	
32965.48	46.279999999998836	trials	0.0	1.0	0.0	run_right	
33011.76	187.18239999999787	trials	0.0	1.0	0.0	run_left	
33198.9424	63.56880000000092	trials	0.0	0.0	0.0	run_right	
33262.5112	264.4360000000015	trials	0.0	0.0	0.0	run_left	
33526.9472	29.883199999996577	trials	1.0	0.0	0.0	run_left	
33556.8304	68.82719999999972	trials	0.0	1.0	0.0	run_right	
33625.6576	272.80319999999483	trials	0.0	1.0	0.0	run_left	
33898.46079999999	41.56960000000254	trials	1.0	1.0	0.0	run_left	
33940.030399999996	164.97839999999997	trials	1.0	0.0	0.0	run_left	
34105.008799999996	86.25520000000688	trials	0.0	0.0	0.0	run_right	
34191.264	603.5103999999992	trials	0.0	0.0	0.0	run_left	
34794.7744	184.82559999999648	trials	1.0	0.0	0.0	run_left	
